Spelling,Corrected,Suggestion,Examples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuisne,cuisine,,<CUISINE_OF>#0,,<CUISINE_OF>#0,find me the nearest <CUISINE_OF>#0 or <CUISINE_OF>#1 place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<CUISINE_OF>#1,<CUISINE_OF>#1,,find me the nearest <CUISINE_OF>#0 or <CUISINE_OF>#1 place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<AMENITY>#0,<AMENITY>#0,,find the <CUISINE_OF>#0 <AMENITY>#0 in <STREET>#0 on <NEIGHBORHOOD>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<STREET>#0,<STREET>#0,,find the <CUISINE_OF>#0 <AMENITY>#0 in <STREET>#0 on <NEIGHBORHOOD>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<NEIGHBORHOOD>#0,<NEIGHBORHOOD>#0,,find the <CUISINE_OF>#0 <AMENITY>#0 in <STREET>#0 on <NEIGHBORHOOD>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<ORDINAL>#0,<ORDINAL>#0,,is <ORDINAL>#0 entry from the list open now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<NUMBER>#0,<NUMBER>#0,,locate <NUMBER>#0 stars rated <POI>#0 in <STREET>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<POI>#0,<POI>#0,,locate <NUMBER>#0 stars rated <POI>#0 in <STREET>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<DIST>#0,<DIST>#0,,how many <AMENITY>#0 are there who are less than <DIST>#0 from <POI>#0 which is in <STREET>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<AMENITY>#1,<AMENITY>#1,,check for <AMENITY>#0 or <AMENITY>#1 with <CUISINE_OF>#0 or <CUISINE_OF>#1 cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<TIME>#0,<TIME>#0,,what is the location of <POI>#0 within <DIST>#0 from here in <STREET>#0 and is open at <TIME>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he/she,it,,check the closing time of <AMENITY>#0 where he/she is in <STREET>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<PERSON>#0,<PERSON>#0,,send the phone number of <ORDINAL>#0 entry to <PERSON>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<POI>#1,<POI>#1,,how to get from  <POI>#0 to <POI>#1 on <NEIGHBORHOOD>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<COMM_METHOD>#0,<COMM_METHOD>#0,,send info of those places that serves <CUISINE_OF>#0 or <CUISINE_OF>#1 via <COMM_METHOD>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<POI>#2,<POI>#2,,find the directions from <POI>#0 to <POI>#1 that is in <STREET>#0 and near <POI>#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<NEIGHBORHOOD>#1,<NEIGHBORHOOD>#1,,are those <AMENITY>#0 that serves <CUISINE_OF>#0 or <CUISINE_OF>#1 cuisine and has rating og <NUMBER>#0 stars and up open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<NUMBER>#1,<NUMBER>#1,,find the phone number of the <POI>#0 at intersectiin <STREET>#0 and <STREET>#1 and find its location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<TIME>#1,<TIME>#1,,let me knoe the open hours of <POI>#0 in <STREET>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",",",",,"what number of <AMENITY>#0 with the <CUISINE_OF>#0 or <CUISINE_OF>#1 cuisine, and is open now are there",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,?,,how many <CUISINE_OF>#0 or <CUISINE_OF>#1 <AMENITY>#0 are in the area?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<STREET>#1,<STREET>#1,,what is that <CUISINE_OF>#0 or <CUISINE_OF>#1 <AMENITY>#0 near <STREET>#0 and <STREET>#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tht,that,,<COMM_METHOD>#0 <PERSON>#0 the street location tht those places are on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neares,nearest,,directions from here to <POI>#0 neares to <POI>#1 in <STREET>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drections,directions,,find me from here drections of some <CUISINE_OF>#0 <AMENITY>#0 in <STREET>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
od,of,,where <AMENITY>#0 is in <STREET>#0 find address of those place and find opening time od those place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
&,&,,find direction from <AMENITY>#0 where is latest open & in <STREET>#0 to here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have/has,<DELETE_SENTENCE>,,find me the directions from here to those places which are near here on <STREET>#0 have/has <AMENITY>#0 and is/are not <POI>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is/are,<DELETE_SENTENCE>,,find me the directions from here to those places which are near here on <STREET>#0 have/has <AMENITY>#0 and is/are not <POI>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i'm,I'm,,i'm looking for the price category of a good <AMENITY>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cusine,cuisine,,how many <AMENITY>#0 that has <CUISINE_OF>#0 or <CUISINE_OF>#1 cusine is open now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addres,address,,what is the addres and closing time of the very good <AMENITY>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thatis,that is,,find the street that <POI>#0 is on and it is near <AMENITY>#0 thatis in <STREET>#0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
withina,with in a,,are there any <POI>#0 in <STREET>#0 withina walking distance from here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<CUISINE_OF>#0,<CUISINE_OF>#0,,find me the nearest <CUISINE_OF>#0 or <CUISINE_OF>#1 place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ket,let,,ket me have the phone number of the places where places is/are <AMENITY>#0 and is/are not <CUISINE_OF>#0 cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
